;Distance [m];Latitude;Longitude;IRI(1);IRI(17);AVG IRI
177;1770.0;56.135055412;8.870339155;0.818513367;1.205045539;1.011779453
178;1780.0;56.135143917;8.87030957;0.566121302;0.75104742;0.658584361
179;1790.0;56.13523339;8.870280411;0.44189701600000003;0.5194153020000001;0.480656159
180;1800.0;56.135322335;8.870251487;0.38199182600000003;0.508883424;0.445437625
181;1810.0;56.135411164;8.870223338999999;0.70196509;0.669555594;0.685760342
182;1820.0;56.135500005;8.870195976;0.6494109029999999;0.8576356709999999;0.7535232869999999
183;1830.0;56.135588798;8.870170185;0.802995283;0.972658265;0.887826774
184;1840.0;56.135677643;8.870144984;0.591402631;0.538875413;0.565139022
185;1850.0;56.13576694100001;8.870119207;0.839940943;0.741100221;0.790520582
186;1860.0;56.135856373;8.870093736;0.5333135370000001;0.571698451;0.5525059940000001
187;1870.0;56.135946006000005;8.87006884;0.742497407;0.871525983;0.8070116949999999
188;1880.0;56.136035117;8.870045407000001;0.9436211520000001;1.160974231;1.0522976915
189;1890.0;56.13612517;8.870022243;0.662782404;0.7833144759999999;0.7230484399999999
190;1900.0;56.136214568;8.869998865;0.6364196670000001;1.06409482;0.8502572435
191;1910.0;56.136303882;8.86997614;0.708031553;0.6784294359999999;0.6932304945
192;1920.0;56.136393407;8.869954384;0.7043013770000001;0.910998173;0.807649775
193;1930.0;56.136483263;8.869934132000001;0.687622188;0.9904992290000001;0.8390607085
194;1940.0;56.136573152;8.869914371;0.51883894;0.880604519;0.6997217295
195;1950.0;56.136663012;8.869894601;0.338070366;0.511178736;0.42462455099999996
196;1960.0;56.136752886000004;8.869875248;0.5086145639999999;0.6469422770000001;0.5777784205000001
197;1970.0;56.136841849;8.869856161;0.557405935;0.483242929;0.520324432
198;1980.0;56.136931688999994;8.869837217;0.520561497;0.814756218;0.6676588575
199;1990.0;56.137021565;8.869818837999999;0.5706344329999999;0.707044655;0.638839544
200;2000.0;56.137111448;8.869800991;0.763517639;1.077093015;0.920305327
201;2010.0;56.137201346000005;8.869783617000001;0.69089852;0.785976633;0.7384375765
202;2020.0;56.137291233999996;8.869766602;0.483039996;0.563049767;0.5230448815
203;2030.0;56.1373811;8.86975037;0.8134483659999999;0.822400246;0.8179243059999999
204;2040.0;56.137470998000005;8.869734722;0.633795444;0.803891026;0.718843235
205;2050.0;56.13756081;8.869718872;0.872589049;1.069637017;0.971113033
206;2060.0;56.137650643;8.869703657;0.8090598440000001;0.8101367859999999;0.809598315
207;2070.0;56.137739607;8.869689244;1.138506681;1.038845328;1.0886760045
208;2080.0;56.137829498;8.86967574;0.717022855;0.848249583;0.782636219
209;2090.0;56.137919407;8.869662605;0.376198277;0.654171835;0.515185056
210;2100.0;56.138009346000004;8.869648827;0.871555037;1.020612696;0.9460838665
211;2110.0;56.138099302;8.869635486;0.870963778;1.1612982729999999;1.0161310255
212;2120.0;56.138188979;8.869622356;0.8291532140000001;1.184258126;1.00670567
213;2130.0;56.138278313;8.869609553;0.680322036;0.968517614;0.824419825
214;2140.0;56.138367665;8.869597126;0.77587858;0.924207705;0.8500431425
215;2150.0;56.138457609;8.869585835;0.646508924;0.6662303589999999;0.6563696415
216;2160.0;56.138546688999995;8.869575334;0.961035517;0.724297801;0.842666659
217;2170.0;56.138636649;8.869564826;0.591871684;0.7921066929999999;0.6919891885
218;2180.0;56.138726588000004;8.869554721;0.666207067;0.9718881429999999;0.819047605
219;2190.0;56.138816543999994;8.869545152;0.8193725279999999;0.8272762029999999;0.8233243655
220;2200.0;56.138906475;8.869538087999999;0.7639972559999999;0.914278741;0.8391379984999999
221;2210.0;56.138996414;8.869531523;0.5944153529999999;0.7638011809999999;0.6791082669999999
222;2220.0;56.139086368;8.869524728;0.7702560420000001;0.7297071890000001;0.7499816155000001
223;2230.0;56.139176336000006;8.869517976000001;0.611348022;0.7721254759999999;0.6917367489999999
224;2240.0;56.139266315;8.869511452000001;0.421094378;0.614077097;0.5175857375
225;2250.0;56.139355491;8.869505232;0.648768173;0.6199449579999999;0.6343565655
226;2260.0;56.139445575;8.869499345;0.614231118;0.629248819;0.6217399685
227;2270.0;56.139535695;8.869494676;0.319918352;0.529428212;0.424673282
228;2280.0;56.139625848;8.869491293;0.531181965;0.48026582100000004;0.5057238930000001
229;2290.0;56.139715998999996;8.869488087;0.59675544;0.737664181;0.6672098105
230;2300.0;56.139806076999996;8.869484547999999;0.569828062;0.7749846990000001;0.6724063805
231;2310.0;56.139896158999996;8.8694813;0.37594654;0.489352749;0.4326496445
232;2320.0;56.13998617;8.869478331;0.589958267;0.7168783129999999;0.65341829
233;2330.0;56.140076135;8.86947626;0.43031568600000003;0.67790293;0.554109308
234;2340.0;56.140166168;8.869474882999999;1.700775098;2.122064052;1.911419575
235;2350.0;56.140255857;8.869474041;0.96298041;1.377080405;1.1700304075
236;2360.0;56.140346453;8.869473582000001;0.7476247159999999;0.571040022;0.6593323689999999
237;2370.0;56.140436623999996;8.869473474;1.7261420019999998;1.096156621;1.4111493115
238;2380.0;56.140526523999995;8.869474102;1.086491189;1.478354947;1.282423068
239;2390.0;56.140616435;8.869475132;1.972669919;1.5659063709999999;1.769288145
240;2400.0;56.140706438;8.869476327000001;0.634303753;0.73044688;0.6823753164999999
241;2410.0;56.140796439;8.869477867;0.532578137;0.816452691;0.674515414
242;2420.0;56.140886946;8.869479854;1.1208909809999998;1.156289889;1.1385904349999998
243;2430.0;56.14097773100001;8.869482542;0.8273805759999999;0.8964923109999999;0.8619364434999999
244;2440.0;56.141067511;8.869485441;0.847528855;1.07509048;0.9613096675
245;2450.0;56.141157695;8.869488576;0.707231155;1.11702195;0.9121265525
246;2460.0;56.141247873999994;8.869492196;0.702700075;0.885385695;0.794042885
247;2470.0;56.14133806;8.869496234;0.500898869;0.617646304;0.5592725865
248;2480.0;56.141428243;8.869501009;0.589732224;0.5997159329999999;0.5947240785
249;2490.0;56.141518423;8.869506203;0.39052546200000005;0.576738723;0.4836320925
250;2500.0;56.141608621;8.869512226;0.45313755899999997;0.460023896;0.4565807275
251;2510.0;56.141698816;8.869518426;0.403544233;0.442974387;0.42325931
252;2520.0;56.141788988;8.869524462000001;0.384773934;0.461640362;0.42320714800000003
253;2530.0;56.141878235;8.869531164;0.37191284799999996;0.48674593299999996;0.42932939049999996
254;2540.0;56.141968369;8.869538451;0.712744162;0.668374209;0.6905591855
255;2550.0;56.142058494;8.869546284;0.6396379670000001;0.577545131;0.608591549
256;2560.0;56.142148598999995;8.86955472;0.6344331529999999;0.7884578390000001;0.7114454960000001
257;2570.0;56.14223869600001;8.869563653;0.6764187079999999;0.765852085;0.7211353965
258;2580.0;56.142328782;8.869573125;0.655275912;0.670113499;0.6626947055
259;2590.0;56.142418869;8.869582916;0.6069938220000001;0.505749391;0.5563716065000001
260;2600.0;56.14250897;8.869593499;0.513330429;0.614195956;0.5637631925
261;2610.0;56.142599053000005;8.869604578999999;0.546231941;0.817116492;0.6816742165
262;2620.0;56.14268917;8.869616165;0.427697815;0.745673955;0.586685885
263;2630.0;56.142778381999996;8.869628235;0.59988666;0.624958737;0.6124226985000001
264;2640.0;56.14286848;8.86964077;0.605377109;0.89865612;0.7520166145
265;2650.0;56.142958572;8.869654084;0.544210426;0.6911811059999999;0.617695766
266;2660.0;56.143048643;8.869667855;0.8209810740000001;1.0620043559999999;0.941492715
267;2670.0;56.143138738000005;8.869681052999999;0.883165269;1.223117164;1.0531412165
268;2680.0;56.143228824;8.8696946;0.679441095;1.153627098;0.9165340965000001
269;2690.0;56.143318924;8.869708492;0.753673157;0.833243941;0.793458549
270;2700.0;56.143409058;8.869723192;0.741422615;0.917109182;0.8292658985
271;2710.0;56.143499168999995;8.869738298;0.87754179;0.824480743;0.8510112665
272;2720.0;56.143588455;8.869753275;0.89388581;0.9363212;0.915103505
273;2730.0;56.143678638000004;8.86976884;0.689257186;0.7545012640000001;0.721879225
274;2740.0;56.143768566999995;8.869784784;0.9468780590000001;1.09555551;1.0212167845
275;2750.0;56.14385811;8.869801491;0.5888139720000001;0.566126883;0.5774704275
276;2760.0;56.143947624;8.869818697000001;0.31247816;0.39704318299999997;0.3547606715
277;2770.0;56.144037208;8.869836439;0.52208058;0.640492511;0.5812865455
278;2780.0;56.144126773;8.869854761000001;0.706518057;0.910863827;0.808690942
279;2790.0;56.144216317;8.869873139;0.465470293;0.620423281;0.542946787
