Distance [m];Tid [s];Latitude;Longitude;IRI(1);IRI(17); HÃ¸jde [m]; Geoide hÃ¸jde [m]; DOP; Satellitter; Fixtype; GPStid; Metode; Vcar [rad]
890.000000000; 47.075680000; 56.128159052; 8.876906216; 1.000946842; 0.961432890; 41.299999237; 42.200000763; 0.600000024; 18; 2; 112355.000000000; 0; -0.805139720
900.000000000; 47.478380000; 56.128221413; 8.876790887; 1.320128198; 1.195057571; 41.200000763; 42.200000763; 0.600000024; 18; 2; 112356.000000000; 0; -0.792048097
910.000000000; 47.881070000; 56.128284899; 8.876676343; 1.718433463; 0.870170768; 41.200000763; 42.200000763; 0.600000024; 18; 2; 112356.000000000; 0; -0.784452915
920.000000000; 48.283720000; 56.128348867; 8.876562671; 0.812665528; 1.030316662; 41.200000763; 42.200000763; 0.600000024; 18; 2; 112356.000000000; 0; -0.776857853
930.000000000; 48.686540000; 56.128413479; 8.876449722; 2.084722943; 1.961939161; 41.099998474; 42.200000763; 0.600000024; 18; 2; 112357.000000000; 0; -0.768155575
940.000000000; 49.085380000; 56.128477943; 8.876338732; 1.402767550; 1.789609396; 41.099998474; 42.200000763; 0.600000024; 18; 2; 112357.000000000; 0; -0.761694133
950.000000000; 49.488260000; 56.128543388; 8.876227169; 1.469675499; 1.502197316; 41.000000000; 42.200000763; 0.600000024; 18; 2; 112358.000000000; 0; -0.759452999
960.000000000; 49.891290000; 56.128609017; 8.876116009; 1.904389566; 1.805605712; 41.000000000; 42.200000763; 0.600000024; 18; 2; 112358.000000000; 0; -0.753734827
970.000000000; 50.294200000; 56.128675005; 8.876005536; 1.524302824; 1.724938783; 41.000000000; 42.200000763; 0.600000024; 18; 2; 112358.000000000; 0; -0.747900486
980.000000000; 50.697450000; 56.128741635; 8.875895220; 1.775326883; 1.650438073; 41.000000000; 42.200000763; 0.600000024; 18; 2; 112359.000000000; 0; -0.741535842
990.000000000; 51.100710000; 56.128808821; 8.875785683; 0.816249577; 0.717544595; 41.000000000; 42.200000763; 0.600000024; 18; 2; 112359.000000000; 0; -0.733453751
1000.000000000; 51.503770000; 56.128876390; 8.875677138; 1.066595660; 1.068289932; 41.000000000; 42.200000763; 0.600000024; 18; 2; 112400.000000000; 0; -0.726780713
1010.000000000; 51.907160000; 56.128944088; 8.875569906; 0.926882070; 0.597227489; 41.000000000; 42.200000763; 0.600000024; 18; 2; 112400.000000000; 0; -0.719913304
1020.000000000; 52.310410000; 56.129012180; 8.875463479; 1.022831991; 1.202284150; 41.000000000; 42.200000763; 0.600000024; 18; 2; 112400.000000000; 0; -0.713576019
1030.000000000; 52.713930000; 56.129080964; 8.875357207; 1.328744972; 1.489048452; 41.000000000; 42.200000763; 0.600000024; 16; 2; 112401.000000000; 0; -0.707310617
1040.000000000; 53.113460000; 56.129149545; 8.875252717; 0.990916946; 1.036688373; 41.000000000; 42.200000763; 0.600000024; 16; 2; 112401.000000000; 0; -0.700647950
1050.000000000; 53.516930000; 56.129219097; 8.875148048; 1.703650836; 1.203657301; 41.000000000; 42.200000763; 0.600000024; 16; 2; 112402.000000000; 0; -0.694868386
1060.000000000; 53.920430000; 56.129288775; 8.875044702; 1.722157447; 1.512130989; 41.000000000; 42.200000763; 0.600000024; 16; 2; 112402.000000000; 0; -0.686408937
1070.000000000; 54.323770000; 56.129358961; 8.874942465; 3.153435984; 1.537077413; 41.000000000; 42.200000763; 0.600000024; 16; 2; 112402.000000000; 0; -0.677548468
1080.000000000; 54.727350000; 56.129430326; 8.874841303; 2.313356762; 1.134961543; 41.000000000; 42.200000763; 0.600000024; 17; 2; 112403.000000000; 0; -0.663288593
1090.000000000; 55.130570000; 56.129502303; 8.874741236; 1.420924606; 0.865039466; 41.000000000; 42.200000763; 0.600000024; 17; 2; 112403.000000000; 0; -0.655540526
1100.000000000; 55.533830000; 56.129574539; 8.874641931; 0.850823046; 0.787132307; 41.099998474; 42.200000763; 0.600000024; 17; 2; 112404.000000000; 0; -0.651891470
1110.000000000; 55.936780000; 56.129646918; 8.874543561; 1.116028066; 0.917821383; 41.099998474; 42.200000763; 0.600000024; 17; 2; 112404.000000000; 0; -0.644862652
